City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,American Indian and Alaska Native,Asian,Black or African-American,Hispanic or Latino,White
San Clemente,California,45.2,34076.0,31456.0,65532,3970.0,8109.0,2.64,CA,0,4296,251,10421,58849
Lawrence,Kansas,27.4,45592.0,48324.0,93916,2986.0,8701.0,2.53,KS,4239,6547,5777,6435,79793
Downey,California,37.3,53006.0,61205.0,114211,2281.0,39977.0,3.45,CA,535,9776,5498,84806,77220
Lafayette,Louisiana,31.7,64018.0,63643.0,127661,5206.0,5396.0,2.54,LA,1183,2776,39862,6556,85282
Newport Beach,California,46.8,43161.0,43970.0,87131,4847.0,15318.0,2.4,CA,423,10017,0,8127,74814
Schenectady,New York,36.7,32398.0,32901.0,65299,3388.0,10961.0,2.82,NY,1059,5140,15640,5957,40278
South Gate,California,32.5,47758.0,48641.0,96399,724.0,40571.0,3.97,CA,618,971,1615,91312,55444
Brownsville,Texas,30.6,87689.0,96199.0,183888,4211.0,53301.0,3.48,TX,1165,1589,1239,170041,174670
Costa Mesa,California,34.8,59097.0,54089.0,113186,4095.0,26645.0,2.59,CA,1961,9165,2925,38239,87320
Tyler,Texas,33.9,50422.0,53283.0,103705,4813.0,8225.0,2.59,TX,1057,2543,26156,21536,72728
Napa,California,37.2,39828.0,40601.0,80429,4678.0,18449.0,2.84,CA,1751,3593,675,33229,57837
Centennial,Colorado,42.4,53222.0,56504.0,109726,7226.0,9501.0,2.66,CO,1219,7041,4005,8086,98174
Sunrise,Florida,37.7,41471.0,51235.0,92706,4108.0,38209.0,2.98,FL,0,3501,33951,29163,54976
Lawrence,Massachusetts,30.8,37464.0,42776.0,80240,1190.0,29170.0,3.17,MA,0,2149,9221,63175,40757
Tucson,Arizona,33.6,264893.0,266781.0,531674,38182.0,82220.0,2.45,AZ,24409,24689,33900,231025,404342
Fullerton,California,34.5,69549.0,71300.0,140849,5394.0,43404.0,2.97,CA,1668,33937,5241,53459,92216
Lake Forest,California,40.3,41515.0,40982.0,82497,3748.0,20784.0,2.76,CA,1482,16690,3526,17410,59846
Stockton,California,32.5,150976.0,154674.0,305650,12822.0,79583.0,3.16,CA,19834,76859,41161,128216,170878
San Antonio,Texas,33.1,721405.0,748419.0,1469824,109089.0,208046.0,2.93,TX,20752,53933,119542,937607,1240092
Orem,Utah,26.1,48695.0,45762.0,94457,2828.0,12808.0,3.26,UT,976,3862,1837,18342,85512
Norman,Oklahoma,30.9,59483.0,60814.0,120297,5578.0,8705.0,2.47,OK,10801,6539,6620,11732,106409
Youngs,Ohio,37.5,30758.0,33851.0,64609,3620.0,1058.0,2.22,OH,875,247,31725,7564,33031
Hayward,California,34.3,78152.0,80148.0,158300,4385.0,60970.0,3.32,CA,2178,46285,20219,64880,74800
Sandy,Utah,34.6,46923.0,46689.0,93612,3451.0,6691.0,3.22,UT,507,5657,522,6832,85130
Moreno Valley,California,30.7,98584.0,105597.0,204181,8529.0,54442.0,3.9,CA,1843,11912,35550,120610,90391
Delray Beach,Florida,47.9,32219.0,34042.0,66261,4232.0,16639.0,2.35,FL,0,1696,21138,6397,40980
Gresham,Oregon,36.7,53866.0,56716.0,110582,6326.0,17860.0,2.67,OR,2084,6641,7721,23576,94904
Federal Way,Washington,36.4,49151.0,46037.0,95188,7135.0,18565.0,2.68,WA,2396,16026,15495,14049,59035
Waterloo,Iowa,37.2,34488.0,33969.0,68457,4800.0,5082.0,2.42,IA,467,1636,11815,4961,51252
Jersey City,New Jersey,34.3,131765.0,132512.0,264277,4374.0,109186.0,2.57,NJ,3356,67610,65051,79718,99300
Mission Viejo,California,44.9,48849.0,48314.0,97163,4713.0,17308.0,2.85,CA,683,13073,2066,18913,81186
Dale City,Virginia,33.4,35984.0,35415.0,71399,6085.0,22306.0,3.65,VA,548,9251,18074,23868,34640
Albuquerque,New Mexico,36.0,273323.0,285808.0,559131,37443.0,58200.0,2.49,NM,32243,25140,26774,271854,411847
Plano,Texas,38.1,138565.0,145054.0,283619,11719.0,74030.0,2.65,TX,3771,59958,25217,42959,195220
Hesperia,California,29.4,43588.0,49698.0,93286,3739.0,16667.0,3.52,CA,1712,2131,4889,53765,78718
Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,5551.0,31880.0,3.55,FL,1675,1853,29998,42092,86328
Norwalk,Connecticut,42.4,40880.0,47603.0,88483,2877.0,22328.0,2.7,CT,552,2954,15129,24682,67844
Pawtucket,Rhode Island,39.2,36072.0,35511.0,71583,3173.0,17884.0,2.41,RI,1359,2150,15513,16117,47614
Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,4534.0,22135.0,2.61,FL,1622,3347,9575,37944,64441
Saint Cloud,Minnesota,30.7,34311.0,33942.0,68253,5012.0,5757.0,2.41,MN,1169,2494,6401,2639,59794
Midland,Texas,32.1,66595.0,66355.0,132950,5753.0,17061.0,2.78,TX,1922,3279,10379,58677,115958
Chicago,Illinois,34.2,1320015.0,1400541.0,2720556,72042.0,573463.0,2.53,IL,23323,195084,873316,785725,1374535
Knoxville,Tennessee,33.1,89978.0,95334.0,185312,10897.0,10285.0,2.21,TN,2304,4717,35049,8640,145055
Westland,Michigan,39.9,37742.0,44253.0,81995,4756.0,6429.0,2.41,MI,429,4843,16422,2827,60576
Columbia,Missouri,26.8,56544.0,62554.0,119098,4548.0,10729.0,2.37,MO,1713,8673,15489,4956,96067
Yuma,Arizona,33.4,48298.0,45847.0,94145,7182.0,19326.0,2.64,AZ,1228,1180,3731,57054,69691
Roanoke,Virginia,36.9,47252.0,52645.0,99897,6567.0,7346.0,2.35,VA,594,3237,30920,6091,68761
Rialto,California,31.6,49902.0,53235.0,103137,2036.0,32741.0,3.83,CA,1065,4103,11800,78571,74551
Pomona,California,32.1,74945.0,78307.0,153252,3251.0,53879.0,3.63,CA,3866,17646,10774,108787,94296
Warner Robins,Georgia,31.4,35093.0,38909.0,74002,6974.0,3210.0,2.5,GA,1309,2723,29307,5378,42306
East Los Angeles,California,32.6,60460.0,59206.0,119666,1101.0,49575.0,3.75,CA,778,1053,508,116211,48980
Simi Valley,California,39.0,63243.0,63523.0,126766,6063.0,23260.0,3.13,CA,2474,14984,2378,34032,107898
Davenport,Iowa,35.2,50123.0,52454.0,102577,7090.0,4065.0,2.39,IA,901,3071,12761,9131,88145
Thornton,Colorado,33.1,65482.0,67977.0,133459,7261.0,17949.0,2.97,CO,2967,7034,4569,49241,119264
Gary,Indiana,38.1,35876.0,41478.0,77354,3952.0,1884.0,2.35,IN,551,537,61416,6266,13498
Palm Coast,Florida,48.8,39489.0,42632.0,82121,7950.0,9084.0,2.76,FL,700,2479,10786,8706,67272
Hialeah,Florida,43.0,111530.0,125552.0,237082,1844.0,170148.0,3.31,FL,0,1149,5687,227508,219991
Clifton,New Jersey,38.5,41932.0,44409.0,86341,2603.0,27979.0,3.11,NJ,2417,5840,8743,33176,51516
Bellflower,California,33.4,38936.0,39498.0,78434,2154.0,24607.0,3.58,CA,783,10764,12839,42472,23336
Broomfield,Colorado,36.8,31755.0,33310.0,65065,3966.0,5316.0,2.53,CO,601,5193,1154,8065,58341
Joliet,Illinois,33.1,70863.0,79162.0,150025,7353.0,22409.0,3.13,IL,523,2813,27883,45291,106160
Portland,Oregon,36.7,313516.0,318671.0,632187,29940.0,86041.0,2.43,OR,15314,64386,45914,61064,524258
San Francisco,California,38.3,439752.0,425064.0,864816,26276.0,297199.0,2.37,CA,8997,324034,53270,132114,442155
Camarillo,California,40.8,31941.0,35682.0,67623,4384.0,9735.0,2.77,CA,742,7198,1219,16186,59702
Skokie,Illinois,43.4,31382.0,33437.0,64819,1066.0,27424.0,2.78,IL,0,20272,4937,6590,40642
Redwood City,California,37.1,42676.0,42624.0,85300,2430.0,27652.0,2.64,CA,664,14873,2758,29011,51019
Evansville,Indiana,38.0,57198.0,60481.0,117679,9063.0,3169.0,2.25,IN,713,1376,17564,3263,100055
Hillsboro,Oregon,35.3,50926.0,51434.0,102360,6625.0,19531.0,2.68,OR,4524,13704,4347,22169,81072
The Woodlands,Texas,38.8,56083.0,63061.0,119144,8351.0,21188.0,2.93,TX,2427,8828,6420,19574,106202
Longview,Texas,36.8,40065.0,41525.0,81590,5512.0,8782.0,2.55,TX,253,1810,19904,17614,60997
Upland,California,39.7,36226.0,40221.0,76447,2898.0,16552.0,2.77,CA,1068,9182,5717,30787,46704
Sunrise Manor,Nevada,32.5,93505.0,99103.0,192608,10663.0,56530.0,3.25,NV,3962,16165,29483,99838,109960
Lubbock,Texas,29.2,122320.0,126731.0,249051,10588.0,14226.0,2.61,TX,7627,7508,23594,90706,206318
Kirkland,Washington,40.8,42159.0,45108.0,87267,5156.0,18570.0,2.3,WA,1155,15277,1041,6720,70491
Garden Grove,California,37.8,86779.0,88605.0,175384,4316.0,80677.0,3.66,CA,1713,71737,1840,66038,66782
Baton Rouge,Louisiana,31.2,111492.0,117104.0,228596,10633.0,12268.0,2.52,LA,1119,7442,122634,7428,96730
Livermore,California,36.7,41522.0,46595.0,88117,3063.0,13959.0,2.91,CA,941,14116,3199,19582,73440
Paterson,New Jersey,34.0,70640.0,77117.0,147757,1694.0,49810.0,3.37,NJ,1083,9653,45858,85555,54885
Conroe,Texas,31.5,34907.0,33685.0,68592,4871.0,13839.0,2.65,TX,707,2302,6713,23863,57480
Edmond,Oklahoma,32.5,45191.0,44899.0,90090,5006.0,5585.0,2.68,OK,8051,5349,4987,6187,78979
Sacramento,California,33.7,237724.0,252991.0,490715,19698.0,112579.0,2.73,CA,10145,105063,77439,150153,268151
Detroit,Michigan,34.8,319265.0,357859.0,677124,29511.0,39861.0,2.6,MI,6007,10804,545988,53980,104260
Ontario,California,31.0,85059.0,86141.0,171200,4816.0,48557.0,3.52,CA,4304,14313,12900,118292,74765
Alameda,California,41.4,37747.0,40867.0,78614,4504.0,18841.0,2.52,CA,1329,27984,7364,8265,44232
Clovis,California,37.8,52392.0,51780.0,104172,6173.0,13409.0,2.76,CA,1876,14249,3434,23744,78029
Gilbert,Arizona,33.2,116711.0,130812.0,247523,10817.0,24531.0,3.2,AZ,5965,19740,9076,39937,211322
Hammond,Indiana,36.0,38923.0,38687.0,77610,4144.0,9224.0,2.61,IN,1509,1540,20442,25320,41705
Saint Louis,Missouri,35.0,153026.0,162659.0,315685,17060.0,21802.0,2.16,MO,2746,12209,151030,12261,155574
Allen,Texas,37.2,51324.0,46814.0,98138,3505.0,19649.0,3.04,TX,227,15790,13140,10615,69840
Athens-Clarke County unified government,Georgia,26.5,57415.0,65148.0,122563,3953.0,12868.0,2.44,GA,593,6635,34583,13159,79931
Scranton,Pennsylvania,38.5,37975.0,39137.0,77112,5059.0,8069.0,2.39,PA,0,4722,6256,11301,66875
Modesto,California,35.2,104852.0,106405.0,211257,9855.0,39613.0,2.97,CA,4388,19417,9869,85141,166618
Perris,California,26.9,41623.0,33336.0,74959,1321.0,23277.0,4.78,CA,0,3341,9393,54398,23882
South Jordan,Utah,33.8,33669.0,32970.0,66639,2595.0,6142.0,3.61,UT,0,2487,0,4672,59046
Visalia,California,32.6,63695.0,66399.0,130094,5547.0,20779.0,3.11,CA,2113,11523,2525,63482,107322
Davis,California,26.3,33493.0,34163.0,67656,2176.0,13997.0,2.69,CA,779,17816,2081,9041,47997
Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,2126.0,28133.0,2.73,MD,672,13169,12482,18721,36639
Columbus,Georgia,33.7,98785.0,101794.0,200579,21747.0,10376.0,2.62,GA,1343,7039,95366,15180,97436
Pasadena,Texas,31.5,78827.0,74959.0,153786,5735.0,38072.0,2.95,TX,1993,1570,6204,105871,140240
Albany,Georgia,33.3,31695.0,39414.0,71109,5409.0,861.0,2.38,GA,445,650,53440,1783,17160
Plymouth,Minnesota,38.4,39035.0,36893.0,75928,4158.0,8830.0,2.46,MN,760,5561,6938,3274,63872
Corona,California,37.1,79749.0,84493.0,164242,7709.0,42131.0,2.97,CA,2268,21044,9437,68592,119403
Concord,North Carolina,35.7,42732.0,44961.0,87693,4621.0,8847.0,2.72,NC,216,3566,19027,11301,60500
Rochester,Minnesota,35.0,54934.0,57282.0,112216,6888.0,17763.0,2.55,MN,1172,9839,9425,6617,93477
Oshkosh,Wisconsin,33.0,32905.0,33652.0,66557,3809.0,2348.0,2.3,WI,237,3182,2778,1972,60210
Baldwin Park,California,35.8,38747.0,38309.0,77056,780.0,34322.0,4.13,CA,316,15505,1560,56282,36890
Oakland,California,35.7,203827.0,215451.0,419278,12159.0,113896.0,2.56,CA,8380,75446,118228,114054,171599
Augusta-Richmond County consolidated government,Georgia,33.7,94662.0,101917.0,196579,19085.0,7915.0,2.67,GA,1667,4429,112271,9068,77940
Salem,Oregon,35.4,80839.0,83704.0,164543,9685.0,19668.0,2.69,OR,7678,6076,3770,39414,148650
Schaumburg,Illinois,36.9,35971.0,39840.0,75811,2019.0,24614.0,2.72,IL,633,21571,2071,12545,43688
Springfield,Missouri,34.1,81057.0,85741.0,166798,12291.0,7765.0,2.12,MO,2777,5725,10026,7100,151686
Lowell,Massachusetts,33.4,54422.0,56298.0,110720,3764.0,33414.0,2.8,MA,868,28944,7310,22095,68838
Glen Burnie,Maryland,36.5,33398.0,36461.0,69859,5298.0,6971.0,2.58,MD,708,3194,17010,9137,49982
Bend,Oregon,37.3,42294.0,44723.0,87017,6199.0,3032.0,2.39,OR,1818,2726,465,8173,83689
Bridgeport,Connecticut,34.1,71509.0,76110.0,147619,4646.0,44475.0,2.86,CT,2527,8546,53770,59036,68007
Broken Arrow,Oklahoma,36.8,52136.0,55459.0,107595,6797.0,6845.0,2.77,OK,11963,4206,7198,9191,94366
New Orleans,Louisiana,35.9,185736.0,203881.0,389617,17388.0,21679.0,2.41,LA,2496,13349,234645,21850,140314
Arlington,Texas,32.6,191060.0,197062.0,388122,17050.0,79271.0,2.89,TX,2918,31804,92955,112078,251155
Bellevue,Washington,37.4,70763.0,69051.0,139814,5382.0,54654.0,2.43,WA,1949,52223,4151,12215,82378
Irving,Texas,32.3,117189.0,119428.0,236617,6207.0,86756.0,2.78,TX,2960,49421,30356,97862,132779
Whittier,California,36.1,44397.0,43039.0,87436,2790.0,17145.0,3.11,CA,680,3503,1262,61249,49388
Bay,Texas,32.9,37977.0,37508.0,75485,3478.0,13192.0,2.59,TX,2167,2819,16782,31672,48797
Loveland,Colorado,37.6,37042.0,38146.0,75188,5667.0,3050.0,2.53,CO,1029,1549,950,13567,71538
Mount Pleasant,South Carolina,42.7,39429.0,41880.0,81309,3981.0,4701.0,2.53,SC,0,1827,3730,2569,75908
Hemet,California,36.8,38622.0,45251.0,83873,5613.0,13330.0,2.97,CA,2288,3697,7650,37448,67817
Arlington,Virginia,34.4,113981.0,115183.0,229164,12719.0,55205.0,2.19,VA,845,28595,22372,35911,171673
Franklin,Tennessee,38.3,34991.0,37644.0,72635,3303.0,6876.0,2.73,TN,0,3911,7749,4916,61459
Rochester,New York,31.4,100135.0,109673.0,209808,7288.0,17735.0,2.36,NY,4856,8748,93072,38004,105636
Sugar Land,Texas,42.1,43889.0,44240.0,88129,4377.0,31169.0,2.95,TX,0,33469,8993,7835,44555
Murrieta,California,35.3,49363.0,60453.0,109816,7242.0,19875.0,3.3,CA,2327,16041,9259,32944,77700
Miami,Florida,40.4,215840.0,225149.0,440989,7233.0,260789.0,2.5,FL,1571,4613,87331,319942,338232
Apple Valley,California,34.3,32873.0,39312.0,72185,5714.0,5801.0,3.03,CA,1446,2281,9124,25928,60767
Macon,Georgia,36.0,71833.0,81626.0,153459,10735.0,4846.0,2.46,GA,682,3588,84569,4897,64117
Cleveland,Ohio,36.0,186436.0,201623.0,388059,19849.0,18830.0,2.24,OH,6140,10102,205395,40603,166958
Tempe,Arizona,28.8,91350.0,84476.0,175826,7058.0,26620.0,2.44,AZ,4636,17338,11293,44404,130346
Albany,New York,32.8,47627.0,50825.0,98452,3643.0,11948.0,2.08,NY,1611,8090,31303,9368,58368
Southfield,Michigan,41.6,31369.0,41808.0,73177,4035.0,4011.0,2.27,MI,983,1345,54200,573,18296
Durham,North Carolina,33.2,121153.0,136445.0,257598,12528.0,38642.0,2.4,NC,3154,15740,108088,36304,127680
Pharr,Texas,26.9,35242.0,41293.0,76535,1376.0,25532.0,3.67,TX,0,0,204,72995,73694
Spokane Valley,Washington,36.0,49933.0,44975.0,94908,7984.0,4199.0,2.39,WA,2473,1336,1192,5110,91125
Grand Rapids,Michigan,32.1,95669.0,99430.0,195099,8972.0,19176.0,2.56,MI,3436,6057,42256,31282,143702
Sunnyvale,California,35.7,79480.0,72280.0,151760,3900.0,71441.0,2.74,CA,1179,69472,4210,25638,71463
Columbia,South Carolina,28.0,67686.0,65707.0,133393,5708.0,6074.0,2.32,SC,1420,3501,56398,7545,73232
Fort Lauderdale,Florida,42.8,93948.0,84639.0,178587,8897.0,47582.0,2.38,FL,1366,3791,62954,28148,109751
Warwick,Rhode Island,42.6,39289.0,42409.0,81698,5799.0,5318.0,2.4,RI,0,2685,1212,4723,76999
Aurora,Colorado,34.2,177899.0,180971.0,358870,25158.0,65816.0,2.82,CO,8277,24673,61894,109396,239803
Bloomington,Minnesota,40.9,43318.0,43118.0,86436,6176.0,10728.0,2.3,MN,1745,4689,5828,8021,71874
Canton,Ohio,33.4,34476.0,37419.0,71895,3404.0,2204.0,2.32,OH,358,0,21353,3597,53571
Lansing,Michigan,31.4,54333.0,59777.0,114110,5327.0,8371.0,2.39,MI,5254,4168,34196,14245,75688
Mayagüez,Puerto Rico,38.1,30799.0,35782.0,66581,,,,PR,0,235,0,65521,0
Laguna Niguel,California,45.8,30193.0,35619.0,65812,2648.0,12571.0,2.58,CA,0,8499,881,9203,55919
Pine Hills,Florida,29.2,35344.0,40737.0,76081,2594.0,20735.0,3.3,FL,0,2209,57089,10496,10029
New York,New York,36.0,4081698.0,4468707.0,8550405,156961.0,3212500.0,2.68,NY,90923,1304564,2192248,2485125,3835726
Ponce,Puerto Rico,40.5,56968.0,64615.0,121583,,,,PR,0,0,0,120705,0
Bayamón,Puerto Rico,39.4,80128.0,90131.0,170259,,,,PR,0,0,0,169155,0
Mobile,Alabama,38.0,91275.0,103030.0,194305,11939.0,7234.0,2.4,AL,2816,5518,96397,5229,93755
League City,Texas,35.9,49354.0,48996.0,98350,6484.0,8361.0,2.72,TX,0,8163,4166,14868,86012
Lafayette,Indiana,33.5,34313.0,36857.0,71170,5045.0,5697.0,2.19,IN,0,1167,6752,9151,63157
Guaynabo,Puerto Rico,42.2,33066.0,37426.0,70492,,,,PR,589,0,0,69936,0
Missoula,Montana,34.7,35002.0,36022.0,71024,4733.0,2771.0,2.15,MT,3618,2292,1149,2474,66504
